placeID,latitude_rest,longitude_rest,the_geom_meter,name,address,city,state,country,zip,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services
135085,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,not permitted,0,no_accessibility,medium,0,0,0,none
135038,22.155651,-100.977767,0101000020957F0000506149736E4758C1A8BC93DA48A34B41,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,section,0,no_accessibility,medium,0,0,0,none
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,San Luis Potosí,San Luis Potosí,México,78280,No_Alcohol_Served,none,0,completely,low,0,0,1,none
135060,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosí,San Luis Potosí,México,78310,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135071,22.126375,-100.910926,0101000020957F0000E3A742BFC14D58C1F4E529A7F3914B41,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,San Luis Potosí,San Luis Potosí,México,78396,Full_Bar,section,0,no_accessibility,medium,0,0,0,none
135034,22.140517000000003,-101.021422,0101000020957F000026D92BB4894858C161A7552DA2B04B41,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,México,78210,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135046,22.141282,-101.002958,0101000020957F000011DFB4E3EE4858C13F78758452AB4B41,Restaurante El Reyecito,Agricultura 595 del Valle,San Luis Potosí,San Luis Potosí,México,78200,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135075,22.139573,-100.991564,0101000020957F0000332AE8AF824958C15A4195A82CA84B41,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,San Luis Potosí,San Luis Potosí,México,78269,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
132572,22.141647100000004,-100.9927118,0101000020957F00005D19BF45294958C18FF7F8E260A84B41,Cafe Chaires,Desconocido,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,not permitted,0,completely,low,0,0,0,none
135074,22.149689,-100.999525,0101000020957F0000CDA37BD8BD4758C1F4FBE3D2D7A94B41,Restaurante la Parroquia Potosina,Venustiano Carranza 303 Centro,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,section,0,no_accessibility,high,0,0,0,none
135028,22.146658,-100.987219,0101000020957F0000B4F00BDD8B4858C10AC3619C83A64B41,La Virreina,Av. Carranza 830,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,none,0,no_accessibility,medium,0,0,0,none
135032,22.152481,-100.973486,0101000020957F000017D69FF5084858C1A8F2188740A24B41,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,section,0,no_accessibility,medium,0,0,0,none
135086,22.141421,-101.013955,0101000020957F0000FA1A0E5A9B4858C17C884C4173AE4B41,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosí,San Luis Potosí,México,78290,No_Alcohol_Served,not permitted,0,no_accessibility,medium,0,1,0,none
135058,22.165587,-101.001273,0101000020957F0000EB71019D424558C15CC5404365A94B41,Restaurante Tiberius,Munoz Sn Centro,San Luis Potosí,San Luis Potosí,México,64000,No_Alcohol_Served,none,0,no_accessibility,medium,0,1,0,none
135051,22.151189,-100.977058,0101000020957F0000D6537C4C224858C1DED7F6EB58A34B41,Restaurante Versalles,Francisco I. Madero 145 Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,section,0,no_accessibility,low,0,0,0,none
135025,22.14955,-100.97797,0101000020957F0000C7080D105C4858C108B4006AB4A34B41,El Rincon de San Francisco,1a. de Lozada 1,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135049,22.135011,-101.0286,0101000020957F00005DAD35642E4958C11BBCDE4A02B34B41,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,México,78214,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135106,22.149708800000003,-100.9760928,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,only at bar,0,partially,medium,0,0,1,none
135072,22.149192000000003,-101.002936,0101000020957F0000E7B79B1DB94758C1D29BC363D8AA4B41,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosí,San Luis Potosí,México,78220,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
132755,22.153324,-101.0195459,0101000020957F000026CADE45A14658C1F011EBCA55AF4B41,La Estrella de Dimas,Av. de los Pintores,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,partially,medium,0,0,0,variety
135044,22.141848,-100.997475,0101000020957F0000C8B62F9EFF4858C14FA6C296B9A94B41,Restaurant Wu Zhuo Yi,Himno Nacional 100 Avenida,San Luis Potosí,San Luis Potosí,México,78240,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135048,22.142017000000003,-100.999246,0101000020957F00008032636EEC4858C16CDF265038AA4B41,Restaurante Bar Fu-hao,Jesus Goytortua 390 Tangamanga,San Luis Potosí,San Luis Potosí,México,78269,Wine-Beer,none,0,no_accessibility,high,0,0,0,none
135047,22.150921,-100.993828,0101000020957F00009C7617FBB54758C1260D663225A84B41,Restaurante Casa de las Flores,General Mariano Arista 1205 Barrio de Tequisquiap,San Luis Potosí,San Luis Potosí,México,78310,Wine-Beer,section,0,no_accessibility,high,0,0,0,none
132754,22.1477379,-100.9906163,0101000020957F00002493B678494858C1AD55D2316BA74B41,Cabana Huasteca,Cuauhtemoc 455,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,partially,medium,0,0,0,none
135076,22.181017,-100.973614,0101000020957F00005657121FAA4358C1A8030D5598A04B41,Restaurante Pueblo Bonito,Mexico 2015 Providencia,San Luis Potosí,San Luis Potosí,México,78395,Wine-Beer,none,0,no_accessibility,high,0,0,0,none
135063,22.156724,-100.975556,0101000020957F000054B1A10F544758C15BD6A12797A24B41,Restaurante Alhondiga,Alhondiga 62 Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135042,22.159357,-100.973411,0101000020957F0000C66BB014FC4658C17CFE8D93D2A14B41,Restaurant Oriental Express,Tangamanga 7 Tangamanga,San Luis Potosí,San Luis Potosí,México,78269,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135053,22.178931,-101.012861,0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosí,San Luis Potosí,México,62460,No_Alcohol_Served,section,0,no_accessibility,high,0,0,0,none
135081,22.164842,-100.960493,0101000020957F00006ADAD289804658C168CABB6BD09D4B41,El Club,Mexico 810 Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135062,22.153703,-100.979033,0101000020957F0000D177B9CFB14758C162A211E1C2A34B41,Restaurante El Cielo Potosino,Julian de Los Reyes 400 Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135069,22.140129,-100.944872,0101000020957F000038E5D546B74A58C18FD29AD0D29A4B41,Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosí,San Luis Potosí,México,78399,Wine-Beer,none,0,no_accessibility,low,0,0,0,none
135057,22.145992,-100.955118,0101000020957F000095669021894958C182C9C10E669D4B41,El Herradero Restaurante and Bar,Costado Sur Central Camionera Km 2,San Luis Potosí,San Luis Potosí,México,78390,Wine-Beer,section,0,no_accessibility,medium,0,0,0,none
135039,22.145893,-100.97487,0101000020957F000040D5CE4E014958C177DC62AE09A34B41,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,San Luis Potosí,San Luis Potosí,México,79300,No_Alcohol_Served,section,0,no_accessibility,low,0,0,0,none
135052,22.150981,-100.977412,0101000020957F0000B72147F1274858C189A406ED75A34B41,La Cantina Restaurante,Ignacio Aldama 300 Centro,San Luis Potosí,San Luis Potosí,México,78000,Full_Bar,none,0,no_accessibility,high,0,0,0,none
135030,22.14788,-100.989472,0101000020957F0000C57C76034C4858C10E437A7E15A74B41,Preambulo Wifi Zone Cafe,Anahuac 805,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,medium,1,0,0,Internet
135027,22.147145,-100.974494,0101000020957F000087BEDDE8D24858C1B20CDB33DBA24B41,Restaurant Orizatlan,Pascual M. Hernandez 240,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,none,0,no_accessibility,medium,0,0,0,none
135108,22.1362534,-100.9335852,0101000020957F00008FAE40D59E4B58C112C66046D5974B41,Potzocalli,Carretera Central Sn,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,completely,low,0,0,0,none
135070,22.152918,-100.915164,0101000020957F0000ED435B84934958C1B3CF85FA97914B41,Restaurante 75,Villa de Pozos 4497 Villa de Pozos,San Luis Potosí,San Luis Potosí,México,78421,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135041,22.15106,-100.977659,0101000020957F0000D2002719234858C1CC7A9FC186A34B41,Luna Cafe,Francisco I. Madero 215,San Luis Potosí,San Luis Potosí,México,78000,Wine-Beer,none,0,no_accessibility,medium,0,0,0,none
135082,22.151448,-100.915099,0101000020957F0000A29FAF95CD4958C1FEEEBB73A9914B41,la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosí,San Luis Potosí,México,78421,No_Alcohol_Served,none,0,no_accessibility,medium,0,0,0,none
135054,22.140626,-100.915657,0101000020957F000011E92CCE714B58C19BF8C0CA75924B41,Restaurante y Pescaderia Tampico,Ricardo B. Anaya 2700 Estrella de Oriente,San Luis Potosí,San Luis Potosí,México,78000S,No_Alcohol_Served,none,0,no_accessibility,high,0,0,0,none
135066,22.16835,-100.972466,0101000020957F000013696871A24558C11EE432FB04A14B41,Restaurante Guerra,20 de Noviembre 1817 Tlaxcala,San Luis Potosí,San Luis Potosí,México,78038,Wine-Beer,section,0,no_accessibility,high,0,0,0,none
135026,22.148665,-101.001273,0101000020957F0000C75F8790D94758C1FF8BCA0567AA4B41,la Cantina,Capitan Caldera No. 420 Tequisqueapan,San Luis Potosí,San Luis Potosí,México,78250,Full_Bar,none,0,no_accessibility,high,0,0,0,none
135059,22.145108,-100.989547,0101000020957F000005810F19B84858C136805B2745A74B41,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,San Luis Potosí,San Luis Potosí,México,78250,Wine-Beer,section,0,no_accessibility,medium,0,0,0,none
135065,22.14958,-100.999557,0101000020957F000094A6A8E3C14758C17435E6D1DBA94B41,El angel Restaurante,Venustiano Carranza 1625 Jardin,San Luis Potosí,San Luis Potosí,México,78250,Wine-Beer,section,0,no_accessibility,high,0,0,0,none
135079,22.156376,-100.998355,0101000020957F00009FF49E27C04658C1BA8689941CA94B41,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosí,San Luis Potosí,México,78000,No_Alcohol_Served,none,0,no_accessibility,high,0,0,0,none
